"Rank"	"Grade "	"Username"	"Uploads"	"Subs"	"Video Views"	"Date"	"Category"
"72nd"	"B+ "	"Stadium Astro"	868	138164	29399084	2017-12-10	"Sports"
"73rd"	"B+ "	"TheSportster"	403	587768	347194654	2017-12-10	"Sports"
"74th"	"B+ "	"FORMULA 1"	933	835527	255661405	2017-12-10	"Sports"
"75th"	"B+ "	"Muscle Madness"	505	819631	215170254	2017-12-10	"Sports"
"76th"	"B+ "	"Panasonic…"	1975	52797	102101304	2017-12-10	"Sports"
"77th"	"B+ "	"LaLiga Santander"	29140	1750277	486257412	2017-12-10	"Sports"
"78th"	"B+ "	"FunChannel"	202	424715	205067112	2017-12-10	"Sports"
"79th"	"B+ "	"Bose"	788	91017	61322137	2017-12-10	"Sports"
"80th"	"B+ "	"cricket.com.au"	5657	317130	173143637	2017-12-10	"Sports"
"81st"	"B+ "	"MOuJaZ KooRa TV"	102	409663	67641896	2017-12-10	"Sports"
"82nd"	"B+ "	"BoxingPRO"	33	3989	3091699	2017-12-10	"Sports"
"83rd"	"B+ "	"GingerNinjaTrickster"	384	826128	494426616	2017-12-10	"Sports"
"84th"	"B+ "	"Dawri plus"	4184	467846	190373185	2017-12-10	"Sports"
"85th"	"B+ "	"BDV Football"	420	240912	65210695	2017-12-10	"Sports"
"86th"	"B+ "	"Avtex Sports"	105	138627	30030639	2017-12-10	"Sports"
"87th"	"B+ "	"Реальный футбол"	537	1043353	206372456	2017-12-10	"Sports"
"88th"	"B+ "	"Dân Thể Hình"	235	NA	50576907	2017-12-10	"Sports"
"89th"	"B+ "	"ABS-CBN Sports And Action"	8998	239194	136810008	2017-12-10	"Sports"
"90th"	"B+ "	"Resumenes FUT"	130	301172	38904425	2017-12-10	"Sports"
"91st"	"B+ "	"FM24/7 HD"	389	47216	89927145	2017-12-10	"Sports"
"92nd"	"B+ "	"Soccer AM"	904	626499	214617008	2017-12-10	"Sports"
"93rd"	"B+ "	"Koora 4ever"	324	371397	147254939	2017-12-10	"Sports"
"94th"	"B+ "	"SPORTSNET"	12849	115638	282743343	2017-12-10	"Sports"
"95th"	" B+ "	"MASTER HDTV"	420	NA	3460752	2017-12-10	"Sports"
"96th"	"B+ "	"Sport Vines"	121	245811	103987841	2017-12-10	"Sports"
"97th"	"B+ "	"Tekkerz kid"	231	757904	150264935	2017-12-10	"Sports"
"98th"	"B+ "	"Gli Autogol"	418	1138162	286138181	2017-12-10	"Sports"
"99th"	"B+ "	"Joga Sport"	108	390428	224560063	2017-12-10	"Sports"
"100th"	"B+ "	"Прыжки в воду"	86	394813	48702247	2017-12-10	"Sports"
"101st"	"B+ "	"AshStudio7"	399	708446	227490257	2017-12-10	"Sports"
"102nd"	"B+ "	"Sportfaza Перезагрузка"	1022	542326	169568067	2017-12-10	"Sports"
